35,2803,36,8,123,29,5,0,F S,1
38,3414,30,3,133,57,6,0,F,2
33,2960,20,4,94,26,9,0,F,3
38,3307,19,12,125,65,2,0,F M S,4
31,1911,18,5,73,24,4,0,F S,5
35,2907,17,5,108,31,2,0,F M S,6
37,3203,15,7,93,77,4,0,M,7
36,2851,15,5,79,59,3,0,F M S,8
37,3150,15,6,85,30,4,0,F M S,9
24,2022,14,1,93,15,7,0,F S,10
38,3216,14,11,89,75,6,0,F M S,11
31,1955,13,1,67,16,6,0,F M S,12
34,2738,13,1,72,19,3,0,F M S,13
25,1203,11,4,39,21,0,0,F M S,14
26,2107,11,6,77,31,6,0,F S,15
32,1837,11,6,46,44,1,0,F M S,16
34,2550,11,2,69,26,2,0,F S,17
36,2920,10,6,81,62,2,0,F M S,18
22,1530,10,1,51,15,3,0,F S,19
30,2485,10,9,85,69,10,0,F M S,20
27,1426,10,1,35,10,2,0,F S,21
35,2882,10,2,86,47,8,0,M S,22
38,2657,10,4,70,57,3,0,F M S,23
37,3261,9,8,40,80,6,0,D F M,24
38,3378,9,4,44,72,6,0,M,25
38,2991,9,8,71,52,5,0,F S,26
29,1702,9,3,84,28,1,1,F S,27
31,1416,9,0,47,18,0,0,F M S,28
31,2369,8,4,54,37,0,0,M S,29
35,1562,8,2,42,15,4,0,F S,30
37,3326,8,8,92,118,6,0,M,31
36,2263,8,12,55,47,1,0,D F M S,32
38,2952,8,3,55,28,6,0,F M S,33
37,3039,7,7,40,46,4,0,M S,34
32,2448,7,16,65,97,1,0,M S,35
27,2308,7,2,66,26,5,0,F M,36
35,2613,7,1,71,38,5,0,F M S,37
38,1583,7,3,32,13,3,0,F S,38
36,2822,7,1,38,27,5,0,F M S,39
36,2512,7,3,46,51,5,0,D F M S,40
22,1132,7,4,35,17,2,0,F M S,41
33,2306,7,5,52,40,0,0,D M S,42
21,1483,7,2,39,23,0,0,F M S,43
32,2677,6,1,51,26,12,0,F M S,44
31,1868,6,3,62,30,0,0,F S,45
21,987,6,2,27,12,0,0,F S,46
28,1919,6,3,41,34,4,0,D F M S,47
33,2874,6,7,76,21,2,0,F M S,48
38,3245,6,5,75,48,2,0,F M S,49
35,2070,6,3,73,48,0,0,F M S,50
33,2745,6,7,73,65,2,0,D M S,51
37,2947,6,6,34,45,6,1,M S,52
26,1710,6,3,21,43,0,0,F M S,53
35,3022,6,1,67,32,12,0,D M S,54
32,1769,6,0,43,37,5,0,F M S,55
35,2675,6,7,33,42,5,0,M S,56
19,950,6,2,36,11,1,0,F S,57
33,1847,5,3,39,15,2,0,F S,58
28,1120,5,5,39,22,0,0,F M S,59
28,2083,5,7,41,50,3,0,F M S,60
27,2174,5,5,41,51,2,0,M S,61
30,1941,5,10,43,51,2,0,F M S,62
25,1519,5,2,20,22,6,1,M S,63
37,3263,5,0,35,18,7,0,D M,64
38,2446,5,2,49,40,0,0,F M S,65
35,1819,5,2,39,17,3,0,F M S,66
18,1516,5,2,15,11,8,0,M S,67
37,3170,5,8,62,67,6,0,F M S,68
37,2898,5,6,23,48,5,0,M,69
28,1079,5,2,21,8,3,0,F S,70
28,2019,5,3,47,24,1,0,F M S,71
36,2793,5,7,39,53,2,0,D F M S,72
23,1770,5,4,37,17,1,0,D M S,73
22,594,5,0,27,8,2,0,F M S,74
19,891,5,0,28,9,1,1,F M S,75
35,3137,4,5,33,30,5,0,M,76
38,2738,4,3,32,30,5,0,F M S,77
33,2520,4,1,59,36,3,0,F M S,78
28,1523,4,2,50,12,3,0,F S,79
33,2765,4,6,62,60,8,0,M,80
28,2127,4,3,34,28,7,2,M S,81
34,2194,4,5,25,30,5,0,D F M S,82
33,2031,4,4,51,30,4,0,F M S,83
37,3268,4,1,36,36,5,0,M S,84
36,1215,4,2,29,20,0,0,F S,85
30,1017,4,1,41,9,3,0,F S,86
36,2511,4,1,31,18,8,0,D F M S,87
28,2209,4,3,53,32,5,0,F M S,88
16,953,4,0,46,6,1,1,F M S,89
32,1564,4,0,34,14,7,0,F M S,90
32,2762,4,5,28,42,7,0,M,91
28,1391,4,2,29,16,4,0,F M S,92
30,1164,4,4,30,17,2,0,F M S,93
36,1374,4,2,18,12,1,0,M S,94
17,997,4,2,27,13,2,0,F M S,95
19,536,4,0,11,6,0,0,M S,96
27,1273,4,0,23,5,1,0,F S,97
20,798,4,2,38,13,1,0,F M S,98
25,1841,4,2,72,28,5,0,F M S,99
18,1050,4,2,24,5,3,0,F M S,100
37,1832,3,4,28,14,1,0,F S,101
34,2562,3,1,28,18,7,0,D M S,102
32,2839,3,1,30,7,3,0,D,103
37,2911,3,4,20,35,5,0,M S,104
37,3278,3,1,27,7,2,0,D,105
33,2484,3,0,28,26,5,0,D M S,106
32,1507,3,1,27,19,0,0,F M S,107
25,808,3,0,12,6,0,0,F S,108
38,3416,3,0,32,5,5,0,D,109
31,2365,3,2,31,30,4,0,M S,110
16,940,3,0,30,13,3,0,F S,111
11,174,3,2,12,8,0,0,S,112
35,2634,3,6,58,40,1,0,M S,113
18,1059,3,1,15,14,2,0,M S,114
15,1154,3,3,25,25,0,0,D M S,115
24,1682,3,2,33,29,4,0,F M S,116
27,1117,3,1,18,10,1,0,F M S,117
35,1590,3,1,28,21,9,1,M S,118
30,2700,3,0,15,8,0,0,D,119
35,2206,3,1,14,16,3,0,D M S,120
19,555,3,2,24,3,3,0,M S,121
35,3124,3,0,38,7,14,0,M,122
30,1204,3,1,21,12,2,0,D M S,123
26,1964,3,1,13,8,4,0,D M S,124
13,999,3,2,15,9,1,0,M S,125
16,742,2,1,8,14,0,0,F M S,126
38,3388,2,7,42,64,2,0,F M,127
20,1149,2,2,20,15,1,0,F M S,128
23,1852,2,2,11,8,2,0,D M S,129
33,2815,2,1,17,7,4,0,D S,130
31,2295,2,2,14,20,4,0,D S,131
8,216,2,0,9,1,1,0,M S,132
23,1418,2,2,16,21,3,0,D S,133
34,1452,2,1,19,23,2,0,F M S,134
25,1990,2,0,19,1,0,0,D S,135
23,1809,2,1,11,7,5,1,D S,136
32,2138,2,1,11,12,4,0,M S,137
37,2954,2,9,40,71,5,0,D S,138
17,1289,2,1,17,12,3,1,D M S,139
36,2938,2,6,50,32,5,0,D M S,140
30,1333,2,1,25,11,2,0,F M S,141
17,1197,2,1,31,9,3,0,F S,142
24,790,2,1,16,8,0,0,F M S,143
29,1087,2,3,18,12,1,0,M S,144
29,717,2,0,28,5,3,0,F S,145
37,3257,2,3,18,21,3,0,D S,146
29,1842,2,2,29,15,4,0,D M S,147
7,606,2,0,8,1,2,0,D,148
30,2120,2,7,43,47,2,0,F M S,149
35,1207,2,2,26,30,6,0,M S,150
33,929,2,0,21,12,2,0,M S,151
17,810,2,0,18,6,4,0,D S,152
27,2418,2,1,6,6,4,0,D,153
32,1408,2,1,23,18,6,0,M S,154
18,1600,2,0,12,6,4,0,D S,155
17,978,2,0,26,8,1,0,F S,156
38,3094,2,5,10,27,5,0,D S,157
26,1733,2,1,17,9,2,1,D S,158
36,2839,2,3,34,15,3,0,M S,159
29,2030,2,1,24,12,3,0,D S,160
29,2217,2,1,16,13,5,0,D S,161
19,705,2,2,21,7,3,0,F M S,162
13,330,2,0,11,1,0,0,F M S,163
18,950,2,1,25,14,1,0,F M S,164
31,2334,2,2,26,39,3,1,F M S,165
12,453,2,0,9,2,1,0,D S,166
37,2774,2,11,51,72,2,0,F M S,167
21,1224,2,0,14,9,2,0,F M S,168
31,2508,2,0,8,5,7,0,D S,169
24,1344,2,4,22,22,7,0,F M S,170
36,3223,1,3,56,19,7,0,D,171
25,1101,1,5,28,31,1,0,F S,172
15,542,1,0,16,4,1,0,F S,173
14,1095,1,0,5,4,3,0,D S,174
34,2107,1,8,29,48,6,0,D F S,175
20,750,1,0,21,8,3,0,F M S,176
28,2251,1,0,7,10,6,0,D S,177
6,340,1,0,3,0,1,1,D S,178
21,871,1,0,6,8,3,0,D M S,179
10,230,1,0,3,1,0,0,M S,180
26,1874,1,0,9,9,2,0,D S,181
23,1686,1,0,7,4,1,0,D S,182
29,2044,1,0,15,14,7,0,D S,183
28,2094,1,8,38,36,3,0,F M S,184
38,3368,1,7,14,110,5,0,D,185
6,232,1,0,2,6,0,0,M S,186
23,1254,1,0,28,11,5,1,F S,187
25,2148,1,0,17,2,6,0,D,188
31,2659,1,0,12,15,4,0,D M S,189
9,338,1,0,7,5,0,0,F S,190
31,2570,1,2,14,34,8,0,D S,191
35,3150,1,2,7,5,7,0,D,192
22,609,1,0,5,3,1,0,M S,193
22,1331,1,0,11,13,2,0,D M S,194
12,982,1,2,14,3,0,0,D S,195
38,3420,1,1,31,15,6,0,D,196
14,556,1,0,5,0,0,0,D S,197
19,743,1,0,2,2,1,0,M S,198
12,724,1,0,4,0,0,0,D S,199
28,1494,1,0,8,18,5,0,D S,200
13,788,1,0,20,11,3,0,F M S,201
27,1700,1,2,23,23,8,0,M S,202
18,1257,1,0,9,5,3,1,D S,203
10,517,1,0,25,6,2,0,F S,204
24,779,1,1,18,12,1,0,D F M S,205
27,2179,1,2,27,19,3,0,D S,206
25,2004,1,0,3,2,2,0,D S,207
15,117,1,0,4,4,0,1,S,208
10,450,1,1,2,7,2,0,D M S,209
24,1958,1,0,9,10,2,0,D S,210
27,1101,1,0,32,7,4,0,F S,211
32,2375,1,2,34,33,7,0,M S,212
35,2707,1,5,30,50,4,0,D S,213
7,527,1,0,5,1,2,0,D S,214
24,1133,1,0,13,8,8,0,M S,215
25,2081,1,0,17,6,4,0,D S,216
20,275,1,0,9,1,2,0,F S,217
13,718,1,1,19,9,1,0,F M S,218
31,2589,1,5,13,23,8,0,D S,219
27,982,1,3,27,16,3,0,F M S,220
36,3240,1,0,22,9,4,0,D,221
27,1581,1,1,9,3,3,0,M S,222
27,796,1,1,6,6,4,0,M S,223
21,1160,1,1,11,4,4,0,D S,224
32,2786,1,0,22,12,8,0,D,225
19,1364,1,1,2,8,6,1,D S,226
21,1056,1,0,10,7,4,0,D S,227
24,2096,1,1,4,4,2,0,D S,228
12,665,1,0,10,6,0,0,D S,229
33,2212,1,1,36,18,4,0,F M S,230
13,947,1,0,5,1,2,0,D S,231
33,2509,1,4,33,23,2,0,M S,232
22,1794,1,3,19,12,6,0,M S,233
33,2900,1,0,3,3,2,0,D,234
23,1510,1,0,7,10,7,0,M S,235
11,901,1,0,6,3,2,0,D S,236
26,2164,1,2,22,29,6,0,D S,237
38,3130,1,0,21,16,5,0,D S,238
32,1602,1,2,36,26,2,0,F M S,239
17,1372,1,0,8,2,4,0,D S,240
37,3330,1,0,14,10,8,0,D,241
34,2692,1,3,42,18,7,0,M S,242
9,151,1,0,6,1,0,0,M S,243
16,1242,1,1,16,21,4,0,D M S,244
31,1860,1,0,25,15,7,0,D M S,245
12,266,1,0,6,1,0,0,F S,246
11,200,1,0,8,2,0,0,F S,247
31,2790,1,2,13,9,4,1,D,248
31,2215,1,1,14,10,6,0,D S,249
18,1421,1,0,10,5,5,0,D S,250
22,510,1,2,16,6,1,0,F S,251
37,3135,1,1,27,43,10,0,D M S,252
18,373,1,2,12,12,1,0,M S,253
19,1254,1,3,26,18,1,0,M S,254
33,2529,1,2,34,22,9,0,M S,255
29,2261,1,0,12,16,9,0,M S,256
7,426,1,0,1,1,0,0,D S,257
17,973,1,0,5,4,6,0,D S,258
13,756,1,0,15,6,0,0,F M S,259
11,534,1,0,6,4,2,0,M S,260
32,1857,1,1,33,29,2,0,F M S,261
36,2415,1,3,41,45,2,0,F M S,262
30,2210,1,0,7,4,6,0,D S,263
27,2123,1,0,10,6,6,0,D S,265
34,2507,1,1,28,27,2,0,M S,266
22,468,1,2,15,12,0,0,M S,267
12,662,1,0,12,12,0,0,F M S,268
13,553,1,1,11,6,2,0,M S,269
11,237,1,0,3,2,0,0,F M S,270
11,650,1,0,4,5,5,0,M S,271
36,3240,0,0,0,1,3,0,GK,272
18,1258,0,0,10,17,2,0,M S,273
12,958,0,0,3,3,4,0,D S,274
7,25,0,0,0,1,0,0,S,275
4,52,0,0,1,2,0,0,S,276
26,2340,0,0,0,0,0,0,GK,277
31,841,0,1,7,14,2,0,D M S,278
5,107,0,0,0,0,0,0,M S,279
14,318,0,0,2,2,2,0,D S,280
4,271,0,0,0,0,0,0,GK S,281
16,1235,0,0,3,3,0,0,D S,282
28,2231,0,1,9,40,3,0,D S,283
38,3420,0,0,0,1,0,0,GK,284
17,937,0,0,10,11,1,0,F M S,285
20,1028,0,1,3,8,1,0,M S,286
4,360,0,0,0,0,1,0,GK,287
22,1644,0,0,0,7,3,0,D S,288
35,2084,0,2,23,31,2,0,M S,289
4,42,0,0,0,0,0,0,S,290
6,540,0,0,0,0,0,0,GK,291
25,2208,0,0,0,0,0,0,GK,292
27,1957,0,0,5,6,3,0,D M S,293
2,26,0,0,0,0,0,0,S,294
2,11,0,0,0,0,0,0,S,295
33,2638,0,1,15,12,7,0,M S,296
25,1511,0,0,9,13,3,0,D M S,297
25,1550,0,1,9,15,1,0,D M S,298
1,90,0,0,0,0,0,0,GK,299
36,3115,0,0,0,0,1,0,GK,300
13,286,0,0,4,1,1,0,F S,301
37,3330,0,1,0,2,5,0,GK,302
20,1615,0,0,6,5,1,0,D S,304
7,200,0,0,2,0,2,0,D S,305
11,480,0,0,0,2,0,0,M S,306
11,565,0,0,6,6,1,0,M S,307
8,373,0,1,8,11,0,0,M S,308
1,1,0,0,0,0,0,0,S,309
13,1057,0,0,1,1,1,0,D S,310
7,96,0,0,4,2,0,0,F S,311
37,2957,0,1,5,16,11,0,D M S,312
14,1212,0,0,0,0,1,0,GK S,313
1,77,0,0,0,0,0,0,M,314
8,213,0,0,2,2,0,0,D S,315
17,575,0,0,1,10,1,0,D S,316
9,810,0,0,0,0,1,0,GK,317
6,138,0,1,0,2,1,0,D S,318
8,505,0,0,4,6,1,1,D S,319
21,1443,0,0,7,1,3,0,D S,320
19,500,0,0,9,2,3,0,M S,321
5,55,0,0,1,1,0,0,S,322
37,3330,0,1,0,1,1,0,GK,323
27,2390,0,0,0,0,4,0,GK,324
19,1325,0,1,9,3,2,1,M S,325
28,2178,0,0,8,12,5,0,M S,326
12,401,0,0,5,0,1,0,M S,327
1,1,0,0,0,0,0,0,S,328
4,10,0,0,1,0,0,1,M S,329
8,309,0,0,6,5,1,0,F S,330
16,750,0,0,3,2,4,0,D S,331
34,2609,0,8,13,52,3,0,D S,332
12,470,0,0,1,8,0,0,M S,333
4,25,0,0,0,0,0,0,S,334
17,1215,0,0,2,3,3,0,D S,335
22,1395,0,0,1,10,3,0,D M S,336
28,1694,0,2,6,23,4,0,M S,337
8,646,0,0,6,0,1,0,D S,338
27,2430,0,0,0,0,1,0,GK,339
17,1530,0,0,0,0,2,0,GK,340
24,1918,0,0,8,4,1,0,D S,341
5,305,0,0,0,0,0,0,GK S,342
12,993,0,0,10,6,0,0,D S,343
27,2228,0,2,8,8,4,0,D S,344
14,216,0,0,9,1,0,0,M S,345
27,2352,0,2,15,5,2,0,D S,346
3,138,0,0,0,0,1,0,D S,347
36,2691,0,2,18,17,11,0,M S,348
31,1778,0,2,16,36,3,0,M S,349
2,2,0,0,0,0,0,0,S,350
15,842,0,1,20,9,0,0,F S,351
19,1346,0,3,13,21,3,0,D S,352
14,224,0,0,4,5,2,0,S,353
36,3143,0,0,0,2,7,0,GK,354
26,2039,0,2,13,6,3,0,D S,355
29,2567,0,0,0,0,1,0,GK,356
8,290,0,0,10,8,1,0,M S,357
11,635,0,1,11,10,1,0,M S,358
19,1450,0,1,13,13,7,0,M S,359
27,1691,0,0,7,3,4,0,D M S,360
18,489,0,0,7,2,2,0,M S,361
37,3261,0,0,0,1,3,1,GK,362
19,1436,0,0,10,15,2,0,D S,363
38,3420,0,0,0,0,1,0,GK,364
23,988,0,0,6,8,6,0,M S,365
1,3,0,0,0,0,0,0,S,366
3,203,0,0,4,1,0,0,D S,367
24,1790,0,1,4,7,4,0,M S,368
14,1170,0,0,6,1,1,0,D,369
6,50,0,0,1,0,0,0,S,370
18,1082,0,0,5,3,2,0,D S,371
23,1772,0,0,8,3,5,0,D S,372
5,16,0,0,1,0,0,0,S,373
35,3150,0,1,0,1,3,0,GK,374
20,1350,0,0,3,3,1,0,D S,375
3,74,0,0,2,0,1,0,D S,376
7,417,0,0,2,1,0,0,M S,377
36,2646,0,1,9,11,11,1,D S,378
18,845,0,0,6,2,1,0,D S,379
36,3186,0,0,17,6,7,0,D M,380
26,1640,0,0,1,11,9,0,M S,381
18,1545,0,0,11,1,5,0,D S,382
12,991,0,1,8,3,2,0,D S,383
18,993,0,0,17,20,1,0,D F M S,384
17,845,0,0,2,3,0,0,D S,385
29,2272,0,1,15,7,2,0,D S,386
2,157,0,0,0,0,0,0,GK S,387
25,1598,0,0,9,4,4,0,D S,388
12,326,0,1,7,5,0,0,M S,389
18,821,0,0,6,4,4,0,M S,390
6,166,0,0,5,2,1,0,M S,391
17,770,0,3,9,13,0,0,M S,392
11,687,0,1,2,1,2,0,D S,393
2,13,0,0,0,0,0,0,S,394
10,853,0,0,0,0,1,0,GK S,395
12,524,0,0,0,1,1,0,D S,396
22,1973,0,1,19,7,5,0,D S,397
11,238,0,1,4,5,0,0,F S,398
4,277,0,0,0,0,0,0,GK S,399
7,435,0,0,6,14,0,0,M S,400
17,798,0,1,14,14,1,0,F M S,401
15,93,0,0,1,4,0,0,S,402
24,1682,0,2,7,11,4,0,D M S,403
27,2367,0,1,11,8,9,1,D S,404
12,132,0,2,4,6,0,0,S,405
15,1350,0,1,0,1,1,0,GK,406
24,888,0,0,5,7,0,0,M S,407
1,1,0,0,0,0,0,0,S,408
1,48,0,0,0,0,0,0,D,409
2,13,0,0,0,0,0,0,S,410
37,3310,0,0,14,4,3,0,D,411
4,148,0,1,2,2,1,0,F M S,412
24,2159,0,0,4,24,4,1,M,413
16,1263,0,0,9,6,3,0,D S,414
26,2197,0,0,8,4,7,0,D S,415
16,777,0,1,9,7,3,0,D M S,416
12,1030,0,0,0,0,0,0,GK S,417
13,799,0,1,6,3,2,0,D S,418
2,4,0,0,0,0,0,0,S,419
27,2000,0,0,18,6,2,0,D S,420
16,695,0,2,3,9,1,0,D M S,421
18,1620,0,0,0,0,2,0,GK,422
38,3325,0,0,8,8,6,0,D S,423
14,1257,0,0,5,7,0,0,D,424
10,288,0,0,1,0,2,0,D S,425
28,2236,0,1,15,13,7,0,D M S,426
1,90,0,0,0,0,0,0,GK,427
16,1427,0,1,13,7,4,0,D S,428
21,632,0,1,3,4,2,0,D S,429
14,515,0,1,6,2,1,0,M S,430
27,733,0,1,7,4,0,0,D S,431
23,2044,0,2,3,7,3,0,D,432
10,399,0,1,3,1,2,0,M S,433
36,2903,0,2,6,15,5,1,D S,434
4,153,0,0,0,0,0,0,D S,435
20,414,0,0,5,4,1,0,D S,436
2,67,0,0,1,0,0,0,D S,437
9,432,0,0,4,1,0,0,D S,438
1,3,0,0,0,0,0,0,S,439
14,336,0,1,11,5,1,0,F M S,440
17,1064,0,0,3,4,3,0,D S,441
36,3141,0,0,22,9,2,0,D S,442
34,2825,0,3,36,26,8,1,M,443
2,180,0,0,0,0,0,0,GK,444
34,3060,0,0,1,0,3,0,GK,445
12,275,0,0,6,3,1,0,M S,446
3,270,0,0,0,0,0,0,GK,447
1,48,0,0,1,0,0,0,F,448
7,157,0,0,2,3,0,0,M S,449
20,754,0,4,7,18,3,0,D S,450
26,963,0,0,12,11,4,0,F M S,451
26,1822,0,1,7,8,4,0,D M S,452
35,3088,0,1,3,21,8,0,D,453
26,1958,0,1,11,6,7,0,D S,454
26,2006,0,0,10,3,3,0,D S,455
27,2148,0,1,6,25,5,0,D S,456
18,630,0,3,16,14,1,0,D F M S,457
11,200,0,1,2,2,1,0,M S,458
23,2070,0,0,0,0,2,0,GK,459
22,353,0,1,11,9,0,0,M S,460
18,720,0,1,12,8,2,0,F S,461
8,73,0,0,3,2,1,0,S,462
4,48,0,0,0,0,0,0,S,463
15,177,0,2,10,2,1,0,F S,464
14,323,0,0,5,8,0,0,M S,465
1,30,0,0,0,1,1,0,S,466
1,74,0,0,0,0,0,0,D,467
2,19,0,0,0,0,0,0,S,468
16,408,0,1,10,6,0,0,M S,469
1,1,0,0,0,0,0,0,S,470
38,3420,0,0,1,2,1,0,GK,471
9,781,0,0,1,1,0,0,D,472
37,3260,0,2,22,23,4,0,D,473
21,823,0,2,9,7,0,0,M S,474
4,13,0,0,0,0,0,0,S,475
20,1089,0,0,3,8,0,0,D S,476
1,5,0,0,2,0,0,0,S,477
15,732,0,0,2,2,2,0,M S,478
24,1890,0,2,14,6,4,0,D,479
26,1788,0,0,3,2,2,1,D S,480
6,205,0,1,2,3,0,0,F M S,481
36,3240,0,0,0,0,2,0,GK,482
5,55,0,0,2,0,0,0,S,483
6,31,0,0,0,0,0,0,S,484
23,568,0,1,4,10,1,1,M S,485
9,156,0,1,5,2,1,0,M S,486
17,540,0,0,8,8,0,0,F M S,487
21,1320,0,1,4,15,1,0,D S,488
1,21,0,0,0,0,0,0,S,489
9,669,0,0,11,15,1,0,D M S,490
34,2651,0,0,10,18,4,0,D S,491
19,1272,0,0,8,6,3,0,D S,492
1,20,0,0,0,0,0,0,S,493
2,17,0,0,0,0,0,0,S,494
1,11,0,0,0,0,0,0,S,495
3,26,0,0,0,0,0,0,S,496
3,85,0,0,2,1,0,0,M S,497
3,6,0,0,0,0,0,0,S,498
19,1465,0,1,4,18,1,0,D M S,499
7,285,0,0,2,0,1,0,M S,500
1,6,0,0,0,0,0,0,S,501
6,93,0,0,2,4,0,0,S,502
1,5,0,0,1,0,0,0,S,503
1,1,0,0,0,0,0,0,S,504
6,162,0,0,2,1,1,0,M S,505
20,1568,0,0,2,8,4,0,D S,506
19,922,0,0,6,5,2,0,D M S,507
1,5,0,0,0,0,0,0,S,508
4,4,0,0,1,0,0,0,S,509
32,2880,0,0,0,1,0,0,GK,510
22,1376,0,0,5,9,6,0,D S,511
17,1213,0,2,8,7,1,0,D S,512
8,288,0,0,2,0,2,0,D S,513
12,1080,0,0,0,0,0,0,GK,514
10,307,0,1,7,5,0,0,F S,515
21,738,0,0,4,2,2,0,M S,516
14,904,0,0,5,11,1,0,D M S,517
2,9,0,0,0,0,0,0,S,518
1,5,0,0,0,0,0,0,S,519
26,1842,0,2,26,7,5,0,M S,520
2,180,0,0,0,0,0,0,GK,521
1,6,0,0,0,0,0,0,S,522
1,1,0,0,0,0,0,0,S,523
5,144,0,0,0,0,0,0,D S,524
1,1,0,0,0,0,0,0,S,525
1,7,0,0,0,0,0,0,S,526
1,9,0,0,0,0,0,0,S,527
3,23,0,0,1,0,0,0,S,528
2,20,0,0,0,0,0,0,S,529
2,15,0,0,1,1,0,0,S,530
1,20,0,0,0,0,0,0,S,531
3,30,0,0,0,1,0,0,S,532
1,1,0,0,0,0,0,0,S,533
1,1,0,0,0,0,0,0,S,534
6,173,0,0,7,1,1,0,M S,535
3,65,0,0,3,3,0,0,F S,536
1,3,0,0,0,0,0,0,S,537
15,654,0,2,14,10,1,0,F M S,538
18,1559,0,2,20,20,3,0,M,539
5,373,0,0,1,4,1,0,D S,540
11,390,0,0,11,4,0,0,F S,541
2,180,0,0,0,0,0,0,GK,542
12,103,0,0,7,1,1,0,S,543
12,902,0,1,3,7,2,0,D S,544
1,17,0,0,0,0,0,0,S,545
3,59,0,0,1,2,0,0,M S,546
1,10,0,0,1,0,0,0,S,547
5,290,0,0,0,0,0,0,D S,548
1,1,0,0,0,0,0,0,S,549
1,1,0,0,1,0,0,0,S,550
1,1,0,0,0,0,0,0,S,551
2,17,0,0,0,0,0,0,S,552
1,26,0,0,0,0,0,0,S,553
1,1,0,0,0,1,0,0,S,554
